"area","x.pos","y.pos","depth","segment.id","season","impact","truth.re","truth.de","truth.no","ResponsePredictions","LinkPredictions"
0.006,655.444,6044.45,-27.701,1,1,1,0.00142925723352667,0.000952839067240924,0.00142925860086139,5.35524578229334e-07,-9.32402324063728
0.179,655.25,6044.75,-28.163,2,1,1,0.0517323989909086,0.0344882937024583,0.0517324405536875,1.49799513077478e-05,-9.38842835722323
0.25,655.25,6045.25,-28.512,3,1,1,0.0845038225751502,0.056335928740338,0.084503893110507,2.01204388465572e-05,-9.42748004039161
0.25,655.25,6045.75,-28.139,4,1,1,0.0697768684841702,0.0465179522617018,0.0697769283925527,2.22669239780524e-05,-9.3261138491361
0.25,655.25,6046.25,-27.83,5,1,1,0.0591175948256901,0.0394117643429209,0.0591176465143814,2.44326727833291e-05,-9.23329491177405
0.25,655.25,6046.75,-27.466,6,1,1,0.0485591097783817,0.0323727683898876,0.0485591525848315,2.72299467113216e-05,-9.12489884714478
0.25,655.25,6047.25,-26.865,7,1,1,0.0354992842171243,0.0236662103030152,0.0354993154545228,3.22594407973647e-05,-8.9554054585392
0.25,655.25,6047.75,-25.983,8,1,1,0.022764016196273,0.0151760239948645,0.0227640359922968,4.17029261331317e-05,-8.69864489944319
0.25,655.25,6048.25,-24.636,9,1,1,0.012167071212682,0.00811138771013354,0.0121670815652003,6.38886599694732e-05,-8.27207431647618
0.25,655.25,6048.75,-23.037,10,1,1,0.00656139896574789,0.00437426958256207,0.00656140437384311,0.00011405558795822,-7.69253025362621
0.25,655.25,6049.25,-20.8,11,1,1,0.00410887647388598,0.00273925314792363,0.00410887972188545,0.000292566089039657,-6.75052561025957
0.25,655.25,6049.75,-17.94,12,1,1,0.00539239762813183,0.00359493445035878,0.00539240167553818,0.00123377381251329,-5.31138330536033
0.25,655.25,6050.25,-15.902,13,1,1,0.0112725079037813,0.00751501057171925,0.0112725158575789,0.00410525207617764,-4.10919376973536
0.25,655.25,6050.75,-14.767,14,1,1,0.0189535613297326,0.0126357158510837,0.0189535737766256,0.00865610761102421,-3.36319576387789
0.25,655.25,6051.25,-13.491,15,1,1,0.0362020177349892,0.0241346930944307,0.0362020396416461,0.0210269707998184,-2.47565498037628
0.25,655.25,6051.75,-12.482,16,1,1,0.0595119304195204,0.0396746421818106,0.059511963272716,0.0445347442796579,-1.72519126300326
0.25,655.25,6052.25,-11.137,17,1,1,0.112356352480963,0.0749042723353008,0.112356408502951,0.116613601023902,-0.762595003888347
